AGE,GENDER,EDUCATION,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,OWN_AUTO,TARGET,FAMILY_INCOME_x,PERSONAL_INCOME,CLOSED_FL,WORK_TIME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
42,1,Среднее,1,0,1,0,1,0,1,от 20000 до 50000 руб.,25000.0,0,3.0,1,0
28,1,Среднее специальное,1,1,1,0,0,0,0,от 10000 до 20000 руб.,10000.0,0,5.0,1,0
64,0,Среднее специальное,2,0,1,1,0,1,0,от 20000 до 50000 руб.,30000.0,1,360.0,1,1
54,1,Среднее специальное,0,0,1,0,1,1,0,от 20000 до 50000 руб.,25000.0,0,3.0,1,0
26,0,Среднее специальное,1,1,1,0,1,0,0,от 10000 до 20000 руб.,15000.0,1,12.0,2,2
63,1,Среднее,2,0,0,1,0,0,0,от 10000 до 20000 руб.,7800.0,1,82.46452544207867,1,1
32,0,Среднее специальное,0,0,1,0,0,0,1,от 10000 до 20000 руб.,12000.0,0,96.0,1,0
52,1,Среднее,1,0,1,0,1,0,0,от 10000 до 20000 руб.,8000.0,1,217.0,3,3
47,0,Среднее,2,0,1,0,0,0,0,от 10000 до 20000 руб.,10000.0,0,10.0,1,0
23,1,Среднее специальное,0,0,1,0,0,0,0,от 5000 до 10000 руб.,7000.0,1,18.0,1,1
42,1,Среднее специальное,2,1,1,0,0,0,0,от 20000 до 50000 руб.,9000.0,0,239.0,1,0
31,1,Среднее специальное,0,0,1,0,1,0,0,от 10000 до 20000 руб.,12000.0,0,8.0,1,0
25,1,Высшее,0,0,1,0,0,0,0,от 10000 до 20000 руб.,4900.0,1,36.0,1,1
37,1,Среднее специальное,2,2,1,0,0,0,0,от 20000 до 50000 руб.,20000.0,0,18.0,1,0
52,1,Среднее специальное,3,0,0,1,1,0,0,от 5000 до 10000 руб.,5500.0,0,82.46452544207867,1,0
46,1,Среднее,2,0,1,0,0,0,0,от 5000 до 10000 руб.,55000.0,1,48.0,2,2
28,1,Среднее,1,1,1,0,0,0,0,от 10000 до 20000 руб.,8500.0,0,60.0,1,0
62,1,Неполное среднее,0,0,0,1,0,0,0,от 10000 до 20000 руб.,8000.0,0,82.46452544207867,1,0
50,0,Среднее специальное,1,0,1,0,1,1,0,от 20000 до 50000 руб.,20000.0,0,216.0,1,0
30,1,Среднее специальное,2,2,1,0,0,0,1,от 10000 до 20000 руб.,5000.0,0,3.0,1,0
64,0,Высшее,0,0,0,1,1,0,0,от 5000 до 10000 руб.,9000.0,0,82.46452544207867,1,0
41,1,Среднее,0,0,1,0,0,0,0,от 10000 до 20000 руб.,6500.0,0,30.0,1,0
27,1,Среднее специальное,0,0,1,0,0,0,0,от 5000 до 10000 руб.,7000.0,1,18.0,1,1
41,1,Среднее специальное,0,0,1,0,0,0,0,от 10000 до 20000 руб.,8000.0,1,14.0,1,1
30,1,Высшее,0,0,1,0,0,1,0,от 5000 до 10000 руб.,15000.0,0,54.0,3,2
61,1,Среднее специальное,2,0,1,1,0,1,0,от 20000 до 50000 руб.,27000.0,0,48.0,1,0
38,1,Среднее,0,1,1,0,0,0,0,от 20000 до 50000 руб.,15000.0,0,132.0,3,1
51,1,Среднее,0,0,1,0,0,0,0,от 20000 до 50000 руб.,6000.0,0,72.0,1,0
58,0,Среднее,2,0,0,1,0,0,0,от 10000 до 20000 руб.,10500.0,0,82.46452544207867,1,0
35,0,Высшее,1,1,1,0,1,0,0,от 20000 до 50000 руб.,15000.0,1,6.0,2,2
45,0,Среднее,2,1,1,0,1,0,0,от 20000 до 50000 руб.,20000.0,1,120.0,4,4
25,1,Среднее,0,0,1,0,1,0,0,от 20000 до 50000 руб.,9000.0,1,84.0,2,2
62,1,Среднее специальное,2,0,1,1,1,0,0,от 20000 до 50000 руб.,13000.0,0,360.0,1,0
30,1,Среднее специальное,1,1,1,0,0,1,0,от 20000 до 50000 руб.,11000.0,0,60.0,1,0
56,1,Неполное среднее,3,0,1,1,1,0,0,от 20000 до 50000 руб.,20000.0,1,90.0,1,1
36,1,Среднее,1,1,1,0,1,0,0,от 10000 до 20000 руб.,15000.0,0,60.0,1,0
55,1,Высшее,2,0,1,0,0,0,0,от 10000 до 20000 руб.,13000.0,0,84.0,1,0
29,0,Среднее,1,1,1,0,0,0,0,от 20000 до 50000 руб.,25000.0,0,12.0,1,0
32,0,Среднее специальное,2,1,1,0,0,1,0,от 20000 до 50000 руб.,21000.0,0,29.0,1,0
36,0,Среднее,1,1,1,0,0,1,0,от 20000 до 50000 руб.,15000.0,1,48.0,2,2
27,0,Среднее специальное,2,2,1,0,1,0,0,от 10000 до 20000 руб.,6500.0,0,48.0,1,0
41,0,Среднее специальное,3,2,1,0,0,0,0,от 10000 до 20000 руб.,10000.0,0,24.0,1,0
54,1,Среднее,2,0,0,1,0,0,0,от 5000 до 10000 руб.,6500.0,0,82.46452544207867,1,0
52,0,Среднее специальное,1,0,1,0,1,0,0,от 20000 до 50000 руб.,30000.0,1,18.0,1,1
28,1,Среднее специальное,1,1,1,0,0,0,0,от 10000 до 20000 руб.,12000.0,0,108.0,1,0
26,1,Среднее специальное,1,1,1,0,0,0,0,от 20000 до 50000 руб.,8000.0,0,36.0,1,0
27,0,Среднее,1,1,1,0,1,0,0,от 20000 до 50000 руб.,20000.0,0,72.0,1,0
28,0,Среднее специальное,0,0,1,0,0,0,1,от 10000 до 20000 руб.,12000.0,0,12.0,1,0
25,1,Среднее специальное,1,1,1,0,1,0,0,от 20000 до 50000 руб.,11000.0,0,48.0,1,0
39,1,Среднее,2,2,1,0,0,0,0,от 10000 до 20000 руб.,8000.0,0,10.0,2,1
64,1,Высшее,0,0,1,0,1,0,1,от 20000 до 50000 руб.,23000.0,0,96.0,1,0
43,0,Неполное среднее,1,1,1,0,0,0,0,от 20000 до 50000 руб.,20000.0,0,36.0,1,0
44,0,Среднее специальное,0,0,1,0,1,0,0,от 20000 до 50000 руб.,22000.0,0,10.0,4,0
34,1,Высшее,2,2,1,0,0,0,0,от 20000 до 50000 руб.,15000.0,0,24.0,1,0
34,1,Среднее,1,1,1,0,1,0,1,от 20000 до 50000 руб.,7000.0,1,40.0,2,2
51,1,Неоконченное высшее,1,0,1,0,0,0,0,от 5000 до 10000 руб.,7500.0,1,144.0,2,2
40,0,Среднее специальное,2,2,1,0,0,0,0,от 20000 до 50000 руб.,15000.0,0,48.0,1,0
27,0,Среднее специальное,1,1,1,0,0,1,1,от 10000 до 20000 руб.,12000.0,0,50.0,1,0
29,0,Высшее,0,0,1,0,0,0,0,от 10000 до 20000 руб.,20000.0,1,18.0,4,4
